rho,Lambda,regime_mid,window,x_min,x_max,window_length,expected_period,length_over_expected_period,window_method,B_high,B_low,Bbar,F_expected,frequency_density_label,active_density,T_for_extrema,x_at_max,y_max,x_at_min,y_min,peak_to_peak
0.02,1.0,electron,W0,15.933120633,31.861829664,15.928709030999999,15.915494309189533,1.0008303054591798,manual,0.06276234411536699,0.031385517107634237,0.0418454248319521,0.06283185307179587,|\rho|,0.02,0.0002,16.006674082313683,0.011883293090806425,31.724137931034484,-0.00918610710256582,0.021069400193372244
0.02,1.0,electron,W1,31.861829664,47.783525188,15.921695524,15.915494309189533,1.000389633817838,manual,0.031385517107634237,0.02092771506634535,0.025111320097907473,0.06283185307179587,|\rho|,0.02,0.0002,31.92436040044494,0.01512435232081991,47.641824249165744,-0.011230389844253525,0.026354742165073435
0.02,1.0,electron,W2,47.783525188,63.702544898,15.91901971,15.915494309189533,1.0002215074657426,manual,0.02092771506634535,0.015697959973203456,0.01793946094303267,0.06283185307179587,|\rho|,0.02,0.0002,47.8420467185762,0.01540810550475244,63.559510567296996,-0.012137096681174773,0.027545202185927212
0.01,1.0,electron,W0,12.991947284220043,31.856531364150513,18.86458407993047,15.915494309189533,1.1852967751707306,zero,0.07697075566297866,0.031390737069552456,0.04459460075961048,0.06283185307179587,|\rho|,0.01,0.0002,15.906562847608454,0.0010487875623226383,31.624026696329256,-0.002142649913611125,0.0031914374759337634
0.01,1.0,electron,W1,31.856531364150513,47.786749523013505,15.930218158862992,15.915494309189533,1.000925126759334,zero,0.031390737069552456,0.020926303002015496,0.02511197401364635,0.06283185307179587,|\rho|,0.01,0.0002,31.92436040044494,0.004356973226604761,47.54171301446051,-0.002269308892599164,0.006626282119203925
0.01,1.0,electron,W2,47.786749523013505,63.70041603018047,15.913666507166965,15.915494309189533,0.9998851558118738,zero,0.020926303002015496,0.01569848459900501,0.01793928467080579,0.06283185307179587,|\rho|,0.01,0.0002,47.8420467185762,0.002597684880643266,63.45939933259177,-0.0039916916277425475,0.006589376508385814
-0.01,1.0,shallow_hole,W0,24.237832872,39.150130313,14.912297441,15.915494309189533,0.9369672817758294,manual,0.04125781398365936,0.02554269914314806,0.0315517315829021,0.06283185307179587,|\rho|,0.01,0.0002,32.42491657397108,0.00019089727493398192,30.92324805339266,-0.00015119453730550527,0.0003420918122394872
-0.01,1.0,shallow_hole,W1,39.150130313,55.160533851,16.010403538,15.915494309189533,1.0059633227197766,manual,0.02554269914314806,0.018128903587140883,0.021206509547235637,0.06283185307179587,|\rho|,0.01,0.0002,49.6440489432703,5.950634513293717e-05,43.837597330367075,-7.524316425237235e-05,0.00013474950938530952
-0.01,1.0,shallow_hole,W2,55.160533851,71.994823747,16.834289896,15.915494309189533,1.05772962931349,manual,0.018128903587140883,0.013889887466273152,0.01572879065247863,0.06283185307179587,|\rho|,0.01,0.0002,66.86318131256952,8.926834139729323e-06,58.85428253615128,-2.2978334315157476e-05,3.19051684548868e-05
-0.02,1.0,shallow_hole,W0,11.84197505165119,20.265396613319695,8.423421561668505,7.957747154594767,1.0585183718491056,zero,0.0844453729752255,0.049345197583882325,0.06229099101817787,0.12566370614359174,|\rho|,0.02,0.0002,16.307007786429367,0.00023697767775703493,15.506117908787541,-0.00023408021278632237,0.0004710578905433573
-0.02,1.0,shallow_hole,W1,20.265396613319695,27.76555597839301,7.500159365073316,7.957747154594767,0.9424978224826807,zero,0.049345197583882325,0.036015846424188085,0.04163981541238642,0.12566370614359174,|\rho|,0.02,0.0002,24.71635150166852,8.365868689444054e-05,23.014460511679644,-0.00011174988418584191,0.00019540857108028245
-0.02,1.0,shallow_hole,W2,27.76555597839301,35.63947988781235,7.873923909419339,7.957747154594767,0.9894664603502729,zero,0.036015846424188085,0.028058770867247434,0.0315432358436058,0.12566370614359174,|\rho|,0.02,0.0002,33.42602892102336,1.199435056245101e-05,30.723025583982203,-2.363186160629291e-05,3.562621216874392e-05
-0.14,1.0,deep_hole,W0,12.036178516178166,21.458512058520814,9.422333542342647,8.308818372800886,1.134016068179668,zero,0.08308284881749402,0.046601553605992774,0.05971095614511358,0.12035405699485786,"\rho_{\rm low,e}",0.019154943091895332,0.0002,17.10789766407119,0.00035620600348855534,16.006674082313683,-0.0003513854226310344,0.0007075914261195897
-0.14,1.0,deep_hole,W1,21.458512058520814,28.72739619889351,7.268884140372695,8.308818372800886,0.8748396961194337,zero,0.046601553605992774,0.0348099769668132,0.039851824335659515,0.12035405699485786,"\rho_{\rm low,e}",0.019154943091895332,0.0002,25.91768631813126,6.848748171978374e-05,24.015572858731925,-0.00012545258824670294,0.00019394006996648668
-0.14,1.0,deep_hole,W2,28.72739619889351,36.8917900895835,8.164393890689993,8.308818372800886,0.9826179276485728,zero,0.0348099769668132,0.027106301905429977,0.030478890597752016,0.12035405699485786,"\rho_{\rm low,e}",0.019154943091895332,0.0002,35.12791991101224,3.53422706661239e-06,32.124582869855395,-2.3248628928108396e-05,2.6782855994720786e-05
-0.15,1.0,deep_hole,W0,12.156631624229872,24.52283113033194,12.366199506102069,17.384591197818732,0.7113310497432733,zero,0.08225962839960205,0.04077832590720385,0.05452642568357304,0.05752220392306212,"\rho_{\rm low,e}",0.009154943091895351,0.0002,17.60845383759733,0.0006291102808504596,17.007786429365964,-0.0006529442898808241,0.0012820545707312838
-0.15,1.0,deep_hole,W1,24.52283113033194,42.184232013728625,17.661400883396684,17.384591197818732,1.0159227031816935,zero,0.04077832590720385,0.023705540014917315,0.029981832593661037,0.05752220392306212,"\rho_{\rm low,e}",0.009154943091895351,0.0002,35.7285873192436,0.00020864400040067647,29.121245828698555,-0.00017875657203088053,0.000387400572431557
-0.15,1.0,deep_hole,W2,42.184232013728625,59.880395319189276,17.69616330546065,17.384591197818732,1.0179223143125167,zero,0.023705540014917315,0.016699956549544353,0.019595427448888158,0.05752220392306212,"\rho_{\rm low,e}",0.009154943091895351,0.0002,54.54949944382648,3.9971245395008324e-05,46.34037819799778,-6.383715764544549e-05,0.00010380840304045381
