rho,Lambda,window,window_method,regime,x_min,x_max,Bbar,F_expected,active_density,T,p1_amplitude,cos_coeff,sin_coeff,fit_rmse,p1_amplitude_norm,lk_fit_norm,m_eff_fit
0.02,1.0,W0,manual,electron,15.933120633,31.861829664,0.0418454248319521,0.06283185307179587,0.02,0.0002,0.0036831896051642086,0.00114734005299781,0.003499928066457461,0.004188035983059134,1.0,1.0,0.00010352206592525872
0.02,1.0,W0,manual,electron,15.933120633,31.861829664,0.0418454248319521,0.06283185307179587,0.02,0.00030682548092687834,0.003689745994230852,0.0011657033095093575,0.003500765815666845,0.004134411377638799,1.0017800845922922,0.9999999999784815,0.00010352206592525872
0.02,1.0,W0,manual,electron,15.933120633,31.861829664,0.0418454248319521,0.06283185307179587,0.02,0.00047070937873005034,0.003699959267457913,0.0011938748845081594,0.003502051019186946,0.00405272152871609,1.0045530271561887,0.9999999999278367,0.00010352206592525872
0.02,1.0,W0,manual,electron,15.933120633,31.861829664,0.0418454248319521,0.06283185307179587,0.02,0.000722128157528199,0.0037159890853950333,0.001237093596676247,0.003504022590657435,0.003928847031760933,1.008905183752918,0.999999999808642,0.00010352206592525872
0.02,1.0,W0,manual,electron,15.933120633,31.861829664,0.0418454248319521,0.06283185307179587,0.02,0.0011078365961221508,0.003741366012253323,0.0013033760145561139,0.003506997377005599,0.003742596120811304,1.0157951160069374,0.9999999995281116,0.00010352206592525872
0.02,1.0,W0,manual,electron,15.933120633,31.861829664,0.0418454248319521,0.06283185307179587,0.02,0.0016995624819678722,0.0037816106319594647,0.0014061071430402077,0.003510475989668661,0.0034668223317616004,1.0267216834716464,0.99999999886787,0.00010352206592525872
0.02,1.0,W0,manual,electron,15.933120633,31.861829664,0.0418454248319521,0.06283185307179587,0.02,0.0026073453794753566,0.0038408685427537533,0.0015768032623890715,0.0035022796339576486,0.003069985595909775,1.0428104318519098,0.9999999973139605,0.00010352206592525872
0.02,1.0,W0,manual,electron,15.933120633,31.861829664,0.0418454248319521,0.06283185307179587,0.02,0.004,0.0038762402312108204,0.0018666032517276894,0.0033972092415241266,0.0025326087934475065,1.0524139799308554,0.999999993656762,0.00010352206592525872
0.02,1.0,W1,manual,electron,31.861829664,47.783525188,0.025111320097907473,0.06283185307179587,0.02,0.0002,0.006102657154305911,0.0010517516816851316,0.006011342840254049,0.005053052905261655,1.0,1.0,0.20643151418195388
0.02,1.0,W1,manual,electron,31.861829664,47.783525188,0.025111320097907473,0.06283185307179587,0.02,0.00030682548092687834,0.006108462793361086,0.0010772448797789075,0.006012724936903971,0.004950336522926927,1.0009513297090726,0.9997624518115511,0.20643151418195388
0.02,1.0,W1,manual,electron,31.861829664,47.783525188,0.025111320097907473,0.06283185307179587,0.02,0.00047070937873005034,0.006117565774312876,0.0011163547077778875,0.006014845232378506,0.004794452519507495,1.0024429719104317,0.9992036826708961,0.20643151418195388
