rho,Lambda,window,window_method,regime,x_min,x_max,Bbar,F_expected,active_density,m_eff_fit,fit_rmse,amp0,branch_theory,m_eff_theory,m_eff_theory_LLTRplus_if_normal,fit_over_theory,plotted
0.02,1.0,W0,manual,electron,15.933120633,31.861829664,0.0418454248319521,0.06283185307179587,0.02,0.00010352206592525872,0.026567589405062937,0.0036831896051642086,LL+,0.4400484139841063,0.4568125725629789,0.00023525153741151247,True
0.02,1.0,W1,manual,electron,31.861829664,47.783525188,0.025111320097907473,0.06283185307179587,0.02,0.20643151418195388,0.015306441888914767,0.006102657154305911,LL+,0.44340043139776125,0.45346055514932393,0.46556453166093187,True
0.02,1.0,W2,manual,electron,47.783525188,63.702544898,0.01793946094303267,0.06283185307179587,0.02,0.28832085132672536,0.023867067357916865,0.006655788034934296,LL+,0.4448370303170039,0.4520239562300813,0.6481493933210989,True
0.01,1.0,W0,zero,electron,12.991947284220043,31.856531364150513,0.04459460075961048,0.06283185307179587,0.01,0.6258952434575867,0.0353535040950787,0.0007076088629060185,LL+,0.4203920099109815,0.4764689766361037,1.488837153660748,True
0.01,1.0,W1,zero,electron,31.856531364150513,47.786749523013505,0.02511197401364635,0.06283185307179587,0.01,0.7876785130570491,0.04202793425786371,0.002037474550774071,LL+,0.4326415490159589,0.4642194375311264,1.8206261392337837,True
0.01,1.0,W2,zero,electron,47.786749523013505,63.70041603018047,0.01793928467080579,0.06283185307179587,0.01,0.9575885299966331,0.03296946470813007,0.0024460364475389867,LL+,0.4371513176287144,0.4597096689183709,2.1905196012927073,True
-0.01,1.0,W0,manual,shallow_hole,24.237832872,39.150130313,0.0315517315829021,0.06283185307179587,0.01,8.265114327158928,0.020542848625812727,0.00012037360826788506,LL-,13.08505446035911,,0.6316453899521712,True
-0.01,1.0,W1,manual,shallow_hole,39.150130313,55.160533851,0.021206509547235637,0.06283185307179587,0.01,10.192705853577676,0.017433979055795572,6.582355377178302e-05,LL-,17.909180302796955,,0.5691330190017595,True
-0.01,1.0,W2,manual,shallow_hole,55.160533851,71.994823747,0.01572879065247863,0.06283185307179587,0.01,13.924976039663942,0.010128156555803682,1.571157982837299e-05,LL-,23.09787481087971,,0.6028682791676103,True
-0.02,1.0,W0,zero,shallow_hole,11.84197505165119,20.265396613319695,0.06229099101817787,0.12566370614359174,0.02,11.337111263392153,0.020552680332631416,0.00019292147154629277,LL-,22.472514842179816,,0.5044878752115872,True
-0.02,1.0,W1,zero,shallow_hole,20.265396613319695,27.76555597839301,0.04163981541238642,0.12566370614359174,0.02,22.997082776485616,0.08323100481423382,8.234826757419188e-05,LL-,30.21843428106925,,0.7610282704452511,True
-0.02,1.0,W2,zero,shallow_hole,27.76555597839301,35.63947988781235,0.0315432358436058,0.12566370614359174,0.02,27.96653083668044,0.1336055504087453,1.7635905086951803e-05,LL-,37.81491623114795,,0.7395634745223779,False
-0.14,1.0,W0,zero,deep_hole,12.036178516178166,21.458512058520814,0.05971095614511358,0.12035405699485786,0.019154943091895332,13.58892759917459,0.024145513351384203,0.00030757643511651795,LLTR-,10.940888617054865,,1.2420314359102342,True
-0.14,1.0,W1,zero,deep_hole,21.458512058520814,28.72739619889351,0.039851824335659515,0.12035405699485786,0.019154943091895332,23.652248448065,0.13216096732009722,7.931581144066703e-05,LLTR-,18.482068580573024,,1.2797403247884538,True
-0.14,1.0,W2,zero,deep_hole,28.72739619889351,36.8917900895835,0.030478890597752016,0.12035405699485786,0.019154943091895332,7.050417534686413,0.08910441658351691,1.1202596732803664e-05,LLTR-,25.55905571013,,0.2758481226633139,False
-0.15,1.0,W0,zero,deep_hole,12.156631624229872,24.52283113033194,0.05452642568357304,0.05752220392306212,0.009154943091895351,5.917823971903094,0.02398342390352277,0.0003651984560202334,LLTR-,3.3881665567954093,,1.746615425394046,True
-0.15,1.0,W1,zero,deep_hole,24.52283113033194,42.184232013728625,0.029981832593661037,0.05752220392306212,0.009154943091895351,6.73307042187967,0.06426086467566017,0.00017575175607304546,LLTR-,7.327319586756259,,0.9188995160043705,True
-0.15,1.0,W2,zero,deep_hole,42.184232013728625,59.880395319189276,0.019595427448888158,0.05752220392306212,0.009154943091895351,10.967707379354534,0.010127224675883582,5.073681943492768e-05,LLTR-,12.154912272305673,,0.9023271524833526,True
