rho,T,invB,B,mu,E_ref,rank_by_abs_E_minus_mu,branch,n,E,E_minus_mu,abs_E_minus_mu,occupation
0.01,0.0002,10.0,0.1,0.19650500200585813,0.16137869955156953,1,LL0,0,0.19640000000000002,-0.00010500200585811248,0.00010500200585811248,0.6283185304822804
0.01,0.0002,10.0,0.1,0.19650500200585813,0.16137869955156953,2,LLTR+,1,0.2637090053514607,0.06720400334560256,0.06720400334560256,1.1704717224299842e-146
0.01,0.0002,10.0,0.1,0.19650500200585813,0.16137869955156953,3,LL+,1,0.44813134998830106,0.25162634798244293,0.25162634798244293,0.0
0.01,0.0002,10.0,0.1,0.19650500200585813,0.16137869955156953,4,LLTR+,2,0.47277490132914013,0.276269899323282,0.276269899323282,0.0
0.01,0.0002,10.0,0.1,0.19650500200585813,0.16137869955156953,5,LL+,2,0.6760377324737461,0.47953273046788797,0.47953273046788797,0.0
0.01,0.0002,10.0,0.1,0.19650500200585813,0.16137869955156953,6,LLTR+,3,0.6914780181524078,0.4949730161465497,0.4949730161465497,0.0
0.01,0.0002,10.0,0.1,0.19650500200585813,0.16137869955156953,7,LL+,3,0.9011946152088495,0.7046896132029914,0.7046896132029914,0.0
0.01,0.0002,10.0,0.1,0.19650500200585813,0.16137869955156953,8,LLTR+,4,0.9124432101439857,0.7159382081381276,0.7159382081381276,0.0
0.01,0.0002,12.0,0.08333333333333333,0.17804065968384739,0.15208703288490283,1,LL0,0,0.17781666666666668,-0.00022399301718070697,0.00022399301718070697,0.7539822401851252
0.01,0.0002,12.0,0.08333333333333333,0.17804065968384739,0.15208703288490283,2,LLTR+,1,0.24355386141421367,0.06551320173036629,0.06551320173036629,5.494016804215823e-143
0.01,0.0002,12.0,0.08333333333333333,0.17804065968384739,0.15208703288490283,3,LL+,1,0.3925879510039717,0.21454729132012432,0.21454729132012432,0.0
0.01,0.0002,12.0,0.08333333333333333,0.17804065968384739,0.15208703288490283,4,LLTR+,2,0.41671647701274905,0.23867581732890167,0.23867581732890167,0.0
0.01,0.0002,12.0,0.08333333333333333,0.17804065968384739,0.15208703288490283,5,LL+,2,0.5832104442643672,0.4051697845805198,0.4051697845805198,0.0
0.01,0.0002,12.0,0.08333333333333333,0.17804065968384739,0.15208703288490283,6,LLTR+,3,0.5984417454840147,0.42040108580016733,0.42040108580016733,0.0
0.01,0.0002,12.0,0.08333333333333333,0.17804065968384739,0.15208703288490283,7,LL+,3,0.7711609188933302,0.5931202592094827,0.5931202592094827,0.0
0.01,0.0002,12.0,0.08333333333333333,0.17804065968384739,0.15208703288490283,8,LLTR+,4,0.7822975769784664,0.604256917294619,0.604256917294619,0.0
0.01,0.0002,15.0,0.06666666666666667,0.15979260159980552,0.14279536621823619,1,LL0,0,0.15923333333333334,-0.0005592682664721793,0.0005592682664721793,0.9424777960933952
0.01,0.0002,15.0,0.06666666666666667,0.15979260159980552,0.14279536621823619,2,LLTR+,1,0.22300471789377554,0.06321211629397003,0.06321211629397003,5.452975174642722e-138
0.01,0.0002,15.0,0.06666666666666667,0.15979260159980552,0.14279536621823619,3,LL+,1,0.33714020865979033,0.1773476070599848,0.1773476070599848,0.0
0.01,0.0002,15.0,0.06666666666666667,0.15979260159980552,0.14279536621823619,4,LLTR+,2,0.360537540463718,0.20074493886391248,0.20074493886391248,0.0
0.01,0.0002,15.0,0.06666666666666667,0.15979260159980552,0.14279536621823619,5,LL+,2,0.49042486047557876,0.33063225887577324,0.33063225887577324,0.0
0.01,0.0002,15.0,0.06666666666666667,0.15979260159980552,0.14279536621823619,6,LLTR+,3,0.5053534541626398,0.34556085256283425,0.34556085256283425,0.0
0.01,0.0002,15.0,0.06666666666666667,0.15979260159980552,0.14279536621823619,7,LL+,3,0.6411506641447703,0.48135806254496477,0.48135806254496477,0.0
0.01,0.0002,15.0,0.06666666666666667,0.15979260159980552,0.14279536621823619,8,LLTR+,4,0.652123627885756,0.49233102628595043,0.49233102628595043,0.0
0.01,0.0002,18.0,0.05555555555555555,0.2086174792451671,0.13660092177379174,1,LLTR+,1,0.20899595522095082,0.00037847597578372083,0.00037847597578372083,0.130973355226523
0.01,0.0002,18.0,0.05555555555555555,0.2086174792451671,0.13660092177379174,2,LL0,0,0.14684444444444444,-0.06177303480072266,0.06177303480072266,1.0
0.01,0.0002,18.0,0.05555555555555555,0.2086174792451671,0.13660092177379174,3,LL+,1,0.30026662116193736,0.09164914191677026,0.09164914191677026,9.692079591065337e-200
0.01,0.0002,18.0,0.05555555555555555,0.2086174792451671,0.13660092177379174,4,LLTR+,2,0.3229773750360342,0.11435989579086708,0.11435989579086708,4.684265850055446e-249
0.01,0.0002,18.0,0.05555555555555555,0.2086174792451671,0.13660092177379174,5,LL+,2,0.42860800138873045,0.21999052214356335,0.21999052214356335,0.0
0.01,0.0002,18.0,0.05555555555555555,0.2086174792451671,0.13660092177379174,6,LLTR+,3,0.4432460339879386,0.2346285547427715,0.2346285547427715,0.0
0.01,0.0002,18.0,0.05555555555555555,0.2086174792451671,0.13660092177379174,7,LL+,3,0.5544999070113679,0.34588242776620076,0.34588242776620076,0.0
0.01,0.0002,18.0,0.05555555555555555,0.2086174792451671,0.13660092177379174,8,LLTR+,4,0.5653140152866268,0.35669653604145973,0.35669653604145973,0.0
0.01,0.0002,20.0,0.05,0.20165450605469068,0.13350369955156952,1,LLTR+,1,0.20186721036032798,0.00021270430563730125,0.00021270430563730125,0.25663706143575205
0.01,0.0002,20.0,0.05,0.20165450605469068,0.13350369955156952,2,LL0,0,0.14065,-0.06100450605469068,0.06100450605469068,1.0
0.01,0.0002,20.0,0.05,0.20165450605469068,0.13350369955156952,3,LL+,1,0.2818735927176666,0.08021908666297592,0.08021908666297592,6.404225193856327e-175
0.01,0.0002,20.0,0.05,0.20165450605469068,0.13350369955156952,4,LLTR+,2,0.3041490632965842,0.10249455724189352,0.10249455724189352,2.728329530174679e-223
0.01,0.0002,20.0,0.05,0.20165450605469068,0.13350369955156952,5,LL+,2,0.39771893981952455,0.19606443376483387,0.19606443376483387,0.0
0.01,0.0002,20.0,0.05,0.20165450605469068,0.13350369955156952,6,LLTR+,3,0.4121696189553141,0.21051511290062344,0.21051511290062344,0.0
0.01,0.0002,20.0,0.05,0.20165450605469068,0.13350369955156952,7,LL+,3,0.5111855640828216,0.30953105802813086,0.30953105802813086,0.0
0.01,0.0002,20.0,0.05,0.20165450605469068,0.13350369955156952,8,LLTR+,4,0.5218963449415965,0.3202418388869058,0.3202418388869058,0.0
0.01,0.0002,25.0,0.04,0.18881719994245177,0.1279286995515695,1,LLTR+,1,0.1887601797661692,-5.702017628256284e-05,5.702017628256284e-05,0.5707963267944535
0.01,0.0002,25.0,0.04,0.18881719994245177,0.1279286995515695,2,LL0,0,0.1295,-0.05931719994245177,0.05931719994245177,1.0
0.01,0.0002,25.0,0.04,0.18881719994245177,0.1279286995515695,3,LL+,1,0.2488817544026967,0.06006455446024492,0.06006455446024492,3.728011125010058e-131
