rho,T,invB,B,mu,E_ref,active_level_count,density_residual,active_vs_labeled_spectrum_error,below_branch,below_n,below_E,below_E_minus_mu,above_branch,above_n,above_E,above_E_minus_mu,nearest_LLplus_branch,nearest_LLplus_n,nearest_LLplus_E,nearest_LLplus_E_minus_mu,nearest_LLTRplus_branch,nearest_LLTRplus_n,nearest_LLTRplus_E,nearest_LLTRplus_E_minus_mu,fermi_bracketing_spacing,nearest_LLplus_LLTRplus_energy_difference,nearest_LLplus_LLTRplus_abs_splitting,nearest_LLplus_LLTRplus_n_difference
0.01,0.0002,10.0,0.1,0.19650500200585813,0.16137869955156953,11,-3.750937060953419e-12,0.0,LL0,0,0.19640000000000002,-0.00010500200585811248,LLTR+,1,0.2637090053514607,0.06720400334560256,LL+,1,0.44813134998830106,0.25162634798244293,LLTR+,1,0.2637090053514607,0.06720400334560256,0.06730900535146067,-0.18442234463684037,0.18442234463684037,0
0.01,0.0002,10.100111234705228,0.09900881057268723,0.19540523174402977,0.16082611144584263,11,3.8296327914411066e-12,0.0,LL0,0,0.19529482378854626,-0.00011040795548350468,LLTR+,1,0.26251906433840533,0.06711383259437556,LL+,1,0.4448262595706398,0.24942102782661005,LLTR+,1,0.26251906433840533,0.06711383259437556,0.06722424054985907,-0.1823071952322345,0.1823071952322345,0
0.01,0.0002,10.200222469410456,0.09803707742639041,0.1943271948641657,0.16028437021678216,11,1.9450760446737547e-13,0.0,LL0,0,0.1942113413304253,-0.00011585353374038432,LLTR+,1,0.2613515121424138,0.06702431727824812,LL+,1,0.44158624023961646,0.24725904537545076,LLTR+,1,0.2613515121424138,0.06702431727824812,0.0671401708119885,-0.18023472809720265,0.18023472809720265,0
0.01,0.0002,10.300333704115683,0.0970842332613391,0.19327026130762348,0.15975315959476605,11,1.2797762849459104e-11,0.0,LL0,0,0.1931489200863931,-0.00012134122123039215,LLTR+,1,0.2602057065202916,0.06693544521266814,LL+,1,0.4384093943746903,0.2451391330670668,LLTR+,1,0.2602057065202916,0.06693544521266814,0.06705678643389854,-0.17820368785439866,0.17820368785439866,0
0.01,0.0002,10.400444938820913,0.09614973262032085,0.1922338254682834,0.15923217548739838,11,-5.0584536559483695e-15,0.0,LL0,0,0.19210695187165777,-0.00012687359662563735,LLTR+,1,0.259081029777589,0.0668472043093056,LL+,1,0.43529389741875346,0.24306007195047005,LLTR+,1,0.259081029777589,0.0668472043093056,0.06697407790593124,-0.17621286764116445,0.17621286764116445,0
0.01,0.0002,10.50055617352614,0.09523305084745762,0.1912173050495803,0.15872112539902714,11,1.5043161161187868e-11,0.0,LL0,0,0.19108485169491524,-0.00013245335466505193,LLTR+,1,0.25797688760255166,0.06675958255297137,LL+,1,0.43223799439523825,0.24102068934565796,LLTR+,1,0.25797688760255166,0.06675958255297137,0.06689203590763643,-0.17426110679268658,0.17426110679268658,0
0.01,0.0002,10.600667408231368,0.09433368310598111,0.19022013997176962,0.15821972788315397,11,8.03704151841611e-11,0.0,LL0,0,0.19008205666316896,-0.0001380833086006561,LLTR+,1,0.25689270796602026,0.06667256799425064,LL+,1,0.42923999662257484,0.23901985665080522,LLTR+,1,0.25689270796602026,0.06667256799425064,0.0668106513028513,-0.17234728865655458,0.17234728865655458,0
0.01,0.0002,10.700778642936596,0.09345114345114346,0.1892417913365093,0.157727712025582,11,-6.851056180701143e-12,0.0,LL0,0,0.18909802494802497,-0.00014376638848434542,LLTR+,1,0.25582794008296317,0.06658614874645385,LL+,1,0.4262982786130777,0.23705648727656836,LLTR+,1,0.25582794008296317,0.06658614874645385,0.0667299151349382,-0.1704703385301145,0.1704703385301145,0
0.01,0.0002,10.800889877641824,0.09258496395468589,0.18828174050255111,0.15724481695630688,11,-1.5255158247740042e-14,0.0,LL0,0,0.18813223480947477,-0.00014950569307634054,LLTR+,1,0.2547820534316495,0.06650031292909839,LL+,1,0.4234112751442929,0.23512953464174177,LLTR+,1,0.2547820534316495,0.06650031292909839,0.06664981862217473,-0.16862922171264338,0.16862922171264338,0
0.01,0.0002,10.901001112347052,0.09173469387755102,0.18733948812767376,0.1567707913883042,11,-9.990914345836543e-13,0.0,LL0,0,0.1871841836734694,-0.00015530445420436356,LLTR+,1,0.25375453682675864,0.06641504869908488,LL+,1,0.42057747849172034,0.23323799036404658,LLTR+,1,0.25375453682675864,0.06641504869908488,0.06657035315328924,-0.1668229416649617,0.1668229416649617,0
